"","V1","V2","weight","height","size1","size1mean","size1norm","lccrank"
"236","L4_290337","L5_245078",200,1400,21342,66604.3793103448,0.320429380484974,9
"237","L4_326133","L5_28852",200,1400,20994,66604.3793103448,0.315204498823987,9
"238","L4_337188","L5_283124",200,1400,20716,66604.3793103448,0.311030599106303,9
"239","L4_285522","L5_241232",200,1400,20452,66604.3793103448,0.307066895777279,9
"240","L4_207230","L5_174569",200,1400,20181,66604.3793103448,0.302998094253924,9
"241","L4_64380","L5_53289",200,1400,20139,66604.3793103448,0.302367505087943,9
"242","L4_256390","L5_217721",200,1400,19949,66604.3793103448,0.299514839813267,9
"243","L4_115170","L5_95194",200,1400,19889,66604.3793103448,0.29861399814758,9
"244","L4_88836","L5_73035",200,1400,19706,66604.3793103448,0.295866431067233,9
"245","L4_292501","L5_247037",200,1400,19697,66604.3793103448,0.29573130481738,9
"246","L4_258238","L5_219141",200,1400,19274,66604.3793103448,0.289380371074285,9
"247","L4_50886","L5_27153",200,1400,19150,66604.3793103448,0.287518631631864,9
"248","L4_50890","L5_27153",200,1400,18997,66604.3793103448,0.285221485384362,9
"249","L4_169410","L5_141209",200,1400,18473,66604.3793103448,0.277354134837359,9
"250","L4_37773","L5_27153",200,1400,18301,66604.3793103448,0.274771722062389,9
"251","L4_71836","L5_37489",200,1400,17963,66604.3793103448,0.269696980679017,9
"252","L4_90422","L5_72989",200,1400,17936,66604.3793103448,0.269291601929458,9
"253","L4_283948","L5_239881",200,1400,17887,66604.3793103448,0.268555914569147,9
"254","L4_64235","L5_43325",200,1400,17743,66604.3793103448,0.266393894571497,9
"255","L4_100358","L5_76438",200,1400,17171,66604.3793103448,0.257805870691945,9
"256","L4_264017","L5_223753",200,1400,16838,66604.3793103448,0.25280619944738,9
"257","L4_93672","L5_56868",200,1400,16722,66604.3793103448,0.251064572227051,9
"258","L4_316276","L5_266766",200,1400,16694,66604.3793103448,0.250644179449731,9
"259","L4_109993","L5_90727",200,1400,16222,66604.3793103448,0.243557558346324,9
"260","L4_291227","L5_246061",200,1400,16133,66604.3793103448,0.242221309875554,9
"261","L4_150504","L5_125348",200,1400,15837,66604.3793103448,0.237777157658164,9
"262","L4_381838","L5_286366",200,1400,15508,66604.3793103448,0.232837542524645,9
"263","L4_372802","L5_47550",200,1400,15244,66604.3793103448,0.228873839195621,9
"264","L4_315301","L5_56868",200,1400,15201,66604.3793103448,0.228228236001878,9
"265","L4_93350","L5_56868",200,1400,15117,66604.3793103448,0.226967057669916,9
"266","L4_39893","L5_34529",200,1400,14740,66604.3793103448,0.221306769203848,9
"267","L4_81985","L5_27153",200,1400,14740,66604.3793103448,0.221306769203848,9
"268","L4_261000","L5_221397",200,1400,14482,66604.3793103448,0.217433150041392,9
"269","L4_345089","L5_289260",200,1400,14401,66604.3793103448,0.216217013792714,9
"270","L4_104675","L5_72257",200,1400,14265,66604.3793103448,0.214175106017156,9
"271","L4_267148","L5_221271",200,1400,13839,66604.3793103448,0.207779130190777,9
"272","L4_279254","L5_236031",200,1400,13742,66604.3793103448,0.206322769497915,9
"273","L4_340088","L5_285456",200,1400,13640,66604.3793103448,0.204791338666247,9
"274","L4_90326","L5_74142",200,1400,13537,66604.3793103448,0.203244893806817,9
"275","L4_40164","L5_28852",200,1400,13415,66604.3793103448,0.20141318241992,9
"276","L4_90079","L5_74142",200,1400,13137,66604.3793103448,0.197239282702235,9
"277","L4_292529","L5_247038",200,1400,13069,66604.3793103448,0.196218328814456,9
"278","L4_254370","L5_216319",200,1400,12993,66604.3793103448,0.195077262704586,9
"279","L4_275907","L5_233351",200,1400,12988,66604.3793103448,0.195002192565778,9
"280","L4_63369","L5_27153",200,1400,12937,66604.3793103448,0.194236477149944,9
"281","L4_101255","L5_83648",200,1400,12502,66604.3793103448,0.187705375073711,9
"282","L4_310817","L5_243585",200,1400,12497,66604.3793103448,0.187630304934904,9
"283","L4_9048","L5_8201",200,1400,12449,66604.3793103448,0.186909631602354,9
"284","L4_9852","L5_9070",200,1400,12447,66604.3793103448,0.186879603546831,9
"285","L4_30162","L5_27383",200,1400,12431,66604.3793103448,0.186639379102648,9
"286","L4_110322","L5_91021",200,1400,12185,66604.3793103448,0.18294592827333,9
"287","L4_123835","L5_102422",200,1400,12095,66604.3793103448,0.181594665774799,9
"288","L4_139580","L5_116060",200,1400,12020,66604.3793103448,0.18046861369269,9
"289","L4_332479","L5_279727",200,1400,11709,66604.3793103448,0.175799251058877,9
"290","L4_242885","L5_206923",200,1400,11700,66604.3793103448,0.175664124809024,9
"291","L4_39672","L5_34378",200,1400,11562,66604.3793103448,0.173592188977943,9
"292","L4_92768","L5_76469",200,1400,11464,66604.3793103448,0.172120814257321,9
"293","L4_378250","L5_32752",200,1400,11419,66604.3793103448,0.171445183008055,9
"294","L4_438","L5_411",200,1400,11058,66604.3793103448,0.16602511898617,9
"295","L4_197102","L5_165642",200,1400,10978,66604.3793103448,0.164823996765254,9
"296","L4_84434","L5_27153",200,1400,10971,66604.3793103448,0.164718898570923,9
"297","L4_293530","L5_247755",200,1400,10910,66604.3793103448,0.163803042877475,9
"298","L4_32432","L5_29152",200,1400,10884,66604.3793103448,0.163412678155677,9
"299","L4_23197","L5_21163",200,1400,10784,66604.3793103448,0.161911275379531,9
"300","L4_89315","L5_73466",200,1400,10748,66604.3793103448,0.161370770380119,9
"301","L4_141683","L5_117736",200,1400,10738,66604.3793103448,0.161220630102504,9
"302","L4_331953","L5_279522",200,1400,10680,66604.3793103448,0.16034981649234,9
"303","L4_52414","L5_44233",200,1400,10672,66604.3793103448,0.160229704270248,9
"304","L4_263174","L5_223097",200,1400,10671,66604.3793103448,0.160214690242487,9
"305","L4_133894","L5_111102",200,1400,10663,66604.3793103448,0.160094578020395,9
"306","L4_292745","L5_247213",200,1400,10592,66604.3793103448,0.159028582049332,9
"307","L4_253787","L5_215866",200,1400,10374,66604.3793103448,0.155755523997335,9
"308","L4_216861","L5_183010",200,1400,10351,66604.3793103448,0.155410201358821,9
"309","L4_336840","L5_283124",200,1400,10285,66604.3793103448,0.154419275526565,9
"310","L4_118053","L5_97748",200,1400,10283,66604.3793103448,0.154389247471042,9
"311","L4_6917","L5_955",200,1400,10280,66604.3793103448,0.154344205387758,9
"312","L4_12220","L5_11247",200,1400,10249,66604.3793103448,0.153878770527153,9
"313","L4_375214","L5_312783",200,1400,10117,66604.3793103448,0.151896918862641,9
"314","L4_17324","L5_15954",200,1400,10075,66604.3793103448,0.15126632969666,9
"315","L5_27153","L6_26059",100,1500,2965359,81120.8357142857,36.5548379018707,1
"316","L5_28852","L6_26059",100,1500,1859118,81120.8357142857,22.9178851971886,2
"317","L5_56868","L6_52500",100,1500,980697,81120.8357142857,12.0893355124459,3
"318","L5_27383","L6_26259",100,1500,639902,81120.8357142857,7.8882569979159,4
"319","L5_47550","L6_44116",100,1500,389303,81120.8357142857,4.79905065785019,5
"320","L5_183010","L6_169545",100,1500,203789,81120.8357142857,2.5121659337653,6
"321","L5_47443","L6_44116",100,1500,172803,81120.8357142857,2.1301925513764,7
"322","L5_245078","L6_226953",100,1500,133642,81120.8357142857,1.64744357997862,8
"323","L5_283124","L6_261462",100,1500,125683,81120.8357142857,1.54933068543162,9
"324","L5_76860","L6_70953",100,1500,118332,81120.8357142857,1.45871278270326,9
"325","L5_72989","L6_67263",100,1500,107772,81120.8357142857,1.32853660901105,9
"326","L5_216666","L6_201255",100,1500,105251,81120.8357142857,1.29745951299987,9
"327","L5_38749","L6_36279",100,1500,103581,81120.8357142857,1.27687294007696,9
"328","L5_279465","L6_44116",100,1500,97847,81120.8357142857,1.20618826394522,9
"329","L5_80050","L6_73896",100,1500,97129,81120.8357142857,1.19733727031729,9
"330","L5_240942","L6_223138",100,1500,94420,81120.8357142857,1.16394264394113,9
"331","L5_32752","L6_31004",100,1500,88160,81120.8357142857,1.08677381370314,9
"332","L5_68578","L6_63169",100,1500,84455,81120.8357142857,1.04110120730829,9
"333","L5_243585","L6_225560",100,1500,84441,81120.8357142857,1.04092862525983,9
"334","L5_286647","L6_264724",100,1500,72173,81120.8357142857,0.889697441656041,9
"335","L5_208791","L6_194187",100,1500,70446,81120.8357142857,0.868408213250128,9
"336","L5_87496","L6_80691",100,1500,68817,81120.8357142857,0.848327059183403,9
